Date,Customer_ID,Product_Name,Category,Price,Sales_Volume,Revenue,Season,Location,Payment_Method,Age,Purchasing_Frequency,Product_Reviews,Restock_Status,Stock_Level
8/4/24,CUST3426,Hoodie,Hoodie,135,1,135,Summer,Canada,Credit Card,31,3,113,No,250
6/22/23,CUST2684,Sweatpants,Sweatpants,55,3,165,Spring,Mexico,Apple Pay,29,5,59,Yes,450
3/20/23,CUST6442,Hoodie,Hoodie,115,1,115,Spring,Italy,PayPal,43,3,60,No,250
10/18/23,CUST6728,Outerwear,Outerwear,135,1,135,Fall,Brazil,PayPal,27,2,26,No,180
12/18/24,CUST9785,T-shirt,T-shirt,50,2,100,Fall,USA,Credit Card,28,3,65,Yes,350
2/2/23,CUST8149,Footwear,Footwear,155,2,310,Summer,Netherlands,Credit Card,37,4,167,Yes,200
4/1/23,CUST6967,Footwear,Footwear,175,3,525,Spring,UK,Debit Card,31,5,100,No,200
4/30/24,CUST6344,Footwear,Footwear,135,3,405,Fall,India,Debit Card,30,5,52,Yes,200
7/27/24,CUST7653,Denim,Denim,85,3,255,Summer,Brazil,Credit Card,35,3,93,Yes,150
4/7/24,CUST4501,Sweatpants,Sweatpants,75,2,150,Fall,Spain,PayPal,34,1,92,Yes,450
2/23/23,CUST3414,Hoodie,Hoodie,95,1,95,Spring,USA,PayPal,18,4,176,Yes,250
6/9/23,CUST9099,Denim,Denim,150,1,150,Fall,Germany,PayPal,30,1,47,Yes,150
12/22/24,CUST5082,Denim,Denim,140,2,280,Winter,UK,Apple Pay,45,2,138,Yes,150
9/5/24,CUST9976,Outerwear,Outerwear,195,3,585,Fall,Canada,Apple Pay,32,4,86,No,180
10/13/24,CUST5499,Footwear,Footwear,165,3,495,Spring,UK,Debit Card,32,2,89,Yes,200
2/15/23,CUST4505,Hoodie,Hoodie,85,2,170,Spring,Italy,Apple Pay,20,3,158,No,250
11/27/24,CUST7232,Outerwear,Outerwear,240,3,720,Winter,USA,Debit Card,33,3,119,No,180
5/3/24,CUST8999,Denim,Denim,145,3,435,Spring,Australia,Apple Pay,25,4,27,Yes,150
9/24/24,CUST9751,Denim,Denim,85,2,170,Spring,Italy,Credit Card,18,1,184,No,150
3/1/23,CUST8449,Sweatpants,Sweatpants,70,2,140,Spring,France,Apple Pay,28,3,127,Yes,450
1/15/23,CUST2124,Footwear,Footwear,95,2,190,Spring,China,Credit Card,42,1,83,Yes,200
12/4/24,CUST4571,Hoodie,Hoodie,125,3,375,Winter,India,Debit Card,32,3,62,Yes,250
5/19/24,CUST6111,Hoodie,Hoodie,95,1,95,Winter,China,Apple Pay,36,4,70,Yes,250
9/7/23,CUST1672,T-shirt,T-shirt,50,3,150,Winter,Netherlands,Apple Pay,29,3,37,No,350
7/17/23,CUST8532,Outerwear,Outerwear,115,2,230,Summer,Canada,Apple Pay,40,2,153,Yes,180
6/28/23,CUST5397,Footwear,Footwear,165,2,330,Fall,Brazil,PayPal,28,1,91,Yes,200
8/5/24,CUST1470,Footwear,Footwear,195,2,390,Summer,Brazil,Debit Card,33,2,144,Yes,200
6/25/23,CUST9464,Footwear,Footwear,200,2,400,Winter,UK,PayPal,24,4,145,Yes,200
9/27/23,CUST2524,Denim,Denim,135,2,270,Winter,Germany,Apple Pay,27,2,98,Yes,150
6/10/24,CUST6764,Sweatpants,Sweatpants,70,3,210,Summer,Spain,Debit Card,40,3,84,Yes,450
1/18/24,CUST4138,Denim,Denim,145,3,435,Spring,India,Apple Pay,24,3,170,No,150
12/12/24,CUST6912,T-shirt,T-shirt,45,2,90,Spring,Australia,Credit Card,23,5,52,Yes,350
5/15/23,CUST2680,Denim,Denim,80,3,240,Fall,USA,Debit Card,45,4,142,No,150
11/23/24,CUST9056,Outerwear,Outerwear,115,1,115,Fall,Japan,Credit Card,20,2,58,No,180
3/5/24,CUST4697,Hoodie,Hoodie,65,3,195,Fall,Netherlands,Apple Pay,42,4,133,Yes,250
2/7/24,CUST4404,Footwear,Footwear,185,1,185,Winter,Germany,Debit Card,38,1,60,Yes,200
2/21/23,CUST5771,Outerwear,Outerwear,170,3,510,Fall,Germany,Debit Card,19,3,199,No,180
2/22/23,CUST7965,Sweatpants,Sweatpants,100,3,300,Spring,Netherlands,PayPal,21,2,88,Yes,450
12/27/23,CUST8195,Sweatpants,Sweatpants,85,3,255,Summer,Spain,Debit Card,21,4,89,Yes,450
12/30/24,CUST5102,T-shirt,T-shirt,60,3,180,Summer,UK,PayPal,18,5,170,Yes,350
11/15/23,CUST8708,Sweatpants,Sweatpants,85,1,85,Spring,China,Apple Pay,34,3,66,No,450
12/28/23,CUST6460,T-shirt,T-shirt,65,2,130,Fall,China,Credit Card,28,2,104,Yes,350
10/23/23,CUST8451,Outerwear,Outerwear,230,3,690,Winter,France,Debit Card,20,3,49,Yes,180
7/8/24,CUST7770,T-shirt,T-shirt,80,3,240,Fall,Germany,Debit Card,19,5,147,Yes,350
2/8/24,CUST8941,Footwear,Footwear,110,2,220,Fall,USA,PayPal,21,2,99,Yes,200
6/27/23,CUST9165,T-shirt,T-shirt,65,1,65,Spring,Australia,Debit Card,40,4,143,Yes,350
1/2/23,CUST2143,Outerwear,Outerwear,130,3,390,Spring,Mexico,Apple Pay,26,3,149,Yes,180
2/1/24,CUST3434,Footwear,Footwear,180,3,540,Fall,Netherlands,Apple Pay,32,3,105,Yes,200
5/29/24,CUST7274,Sweatpants,Sweatpants,55,3,165,Spring,Brazil,Apple Pay,25,1,101,No,450
10/26/24,CUST9115,Outerwear,Outerwear,205,3,615,Spring,Canada,Debit Card,19,1,132,No,180
4/19/24,CUST2225,Hoodie,Hoodie,115,3,345,Spring,Mexico,Debit Card,33,3,179,No,250
5/14/24,CUST8994,Denim,Denim,145,2,290,Summer,Netherlands,Credit Card,45,5,37,No,150
2/10/23,CUST2646,Hoodie,Hoodie,60,2,120,Winter,Canada,Debit Card,32,1,31,Yes,250
6/25/23,CUST3950,Outerwear,Outerwear,120,1,120,Fall,Canada,Credit Card,23,5,117,Yes,180
4/26/23,CUST8529,Hoodie,Hoodie,85,2,170,Summer,China,Credit Card,26,4,93,Yes,250
3/19/23,CUST5097,Sweatpants,Sweatpants,85,2,170,Fall,Brazil,Debit Card,32,2,118,Yes,450
5/15/24,CUST1359,Sweatpants,Sweatpants,85,2,170,Summer,China,Apple Pay,44,3,22,Yes,450
5/19/23,CUST5689,T-shirt,T-shirt,75,3,225,Fall,Mexico,PayPal,42,5,110,Yes,350
4/6/23,CUST1645,Denim,Denim,80,3,240,Winter,Mexico,Apple Pay,27,1,168,Yes,150
8/29/24,CUST4289,Sweatpants,Sweatpants,95,2,190,Spring,Mexico,Debit Card,22,5,148,Yes,450
12/16/24,CUST2886,Outerwear,Outerwear,250,2,500,Summer,UK,PayPal,32,2,193,Yes,180
5/5/24,CUST1228,Footwear,Footwear,145,1,145,Fall,Netherlands,Credit Card,26,4,114,Yes,200
4/8/24,CUST8724,Denim,Denim,115,1,115,Spring,Japan,Debit Card,18,5,76,No,150
6/21/23,CUST2911,Denim,Denim,105,3,315,Fall,USA,Credit Card,22,3,146,Yes,150
11/25/24,CUST3531,Outerwear,Outerwear,170,2,340,Fall,China,Credit Card,31,4,177,No,180
4/15/24,CUST4868,Sweatpants,Sweatpants,55,2,110,Fall,France,Credit Card,45,3,159,Yes,450
4/2/23,CUST2501,Sweatpants,Sweatpants,55,1,55,Fall,Germany,Credit Card,39,1,105,Yes,450
12/19/24,CUST4817,T-shirt,T-shirt,70,1,70,Spring,Mexico,PayPal,28,5,20,No,350
5/8/23,CUST1422,Footwear,Footwear,130,1,130,Winter,USA,Debit Card,22,2,170,Yes,200
1/3/24,CUST2041,Denim,Denim,125,3,375,Winter,Spain,Debit Card,33,5,171,Yes,150
3/20/23,CUST8504,T-shirt,T-shirt,80,3,240,Summer,USA,Credit Card,38,4,122,Yes,350
6/3/24,CUST3430,Outerwear,Outerwear,110,1,110,Summer,Canada,Debit Card,20,5,182,No,180
7/15/24,CUST9282,Footwear,Footwear,170,2,340,Fall,Italy,Credit Card,37,1,187,Yes,200
8/17/23,CUST7779,Hoodie,Hoodie,115,2,230,Spring,Brazil,Apple Pay,28,4,126,Yes,250
6/23/24,CUST2099,Sweatpants,Sweatpants,65,1,65,Fall,Brazil,Credit Card,20,1,130,No,450
9/14/23,CUST3002,Footwear,Footwear,95,3,285,Summer,France,Apple Pay,31,1,93,Yes,200
7/23/23,CUST4674,Hoodie,Hoodie,70,3,210,Fall,UK,Debit Card,45,5,114,Yes,250
5/13/23,CUST5381,Outerwear,Outerwear,235,3,705,Winter,Canada,Debit Card,18,3,106,No,180
4/25/23,CUST1502,Denim,Denim,120,1,120,Spring,India,PayPal,20,4,127,No,150
11/6/23,CUST1861,Sweatpants,Sweatpants,100,3,300,Winter,Canada,Credit Card,22,1,89,Yes,450
8/14/23,CUST6655,Outerwear,Outerwear,140,1,140,Winter,UK,Debit Card,31,5,144,No,180
1/6/23,CUST5938,Footwear,Footwear,95,1,95,Spring,Mexico,PayPal,24,3,94,Yes,200
1/31/23,CUST9196,Hoodie,Hoodie,70,2,140,Spring,Brazil,Debit Card,35,1,121,Yes,250
12/6/24,CUST7626,T-shirt,T-shirt,55,3,165,Fall,China,Apple Pay,40,3,49,Yes,350
1/18/24,CUST2443,Footwear,Footwear,160,3,480,Summer,Brazil,Credit Card,31,2,131,Yes,200
1/8/24,CUST6456,Sweatpants,Sweatpants,95,2,190,Spring,Canada,Credit Card,42,5,182,No,450
7/8/24,CUST4871,Sweatpants,Sweatpants,65,3,195,Spring,Canada,Debit Card,21,2,64,Yes,450
12/9/23,CUST8354,Hoodie,Hoodie,150,2,300,Fall,Japan,Debit Card,39,3,58,Yes,250
8/30/24,CUST9312,Sweatpants,Sweatpants,85,1,85,Summer,Australia,Apple Pay,20,4,29,Yes,450
8/23/23,CUST8581,T-shirt,T-shirt,75,3,225,Fall,Netherlands,Credit Card,36,4,166,Yes,350
12/24/24,CUST6626,Hoodie,Hoodie,55,2,110,Winter,UK,PayPal,40,1,83,Yes,250
4/17/24,CUST5634,Footwear,Footwear,115,2,230,Summer,Italy,Debit Card,30,5,33,Yes,200
4/14/23,CUST5655,T-shirt,T-shirt,70,3,210,Fall,India,PayPal,26,3,40,Yes,350
11/22/24,CUST6072,Denim,Denim,120,1,120,Winter,Italy,Debit Card,35,2,191,Yes,150
9/7/23,CUST9331,Footwear,Footwear,100,3,300,Fall,USA,Debit Card,29,3,66,Yes,200
10/7/24,CUST2264,Hoodie,Hoodie,85,1,85,Spring,Brazil,Credit Card,27,5,158,Yes,250
2/1/23,CUST7172,Sweatpants,Sweatpants,100,3,300,Spring,Canada,PayPal,22,5,62,Yes,450
5/22/23,CUST8355,Denim,Denim,95,2,190,Summer,Netherlands,PayPal,25,3,140,Yes,150
4/12/23,CUST7256,Footwear,Footwear,160,2,320,Summer,Netherlands,Apple Pay,34,2,71,Yes,200
10/22/24,CUST9452,Denim,Denim,135,2,270,Winter,UK,Debit Card,45,1,61,No,150
10/9/23,CUST6727,Outerwear,Outerwear,110,1,110,Fall,Italy,Credit Card,18,4,148,No,180
12/11/23,CUST6493,Hoodie,Hoodie,50,2,100,Winter,Canada,PayPal,43,1,93,No,250
3/20/24,CUST2298,Denim,Denim,135,2,270,Winter,Australia,PayPal,18,2,160,No,150
12/31/23,CUST1782,Sweatpants,Sweatpants,55,2,110,Winter,Italy,Apple Pay,25,1,48,Yes,450
11/1/23,CUST3352,Denim,Denim,140,3,420,Spring,Italy,Credit Card,27,5,110,Yes,150
10/10/23,CUST9618,T-shirt,T-shirt,70,2,140,Winter,Netherlands,Credit Card,35,4,140,Yes,350
9/15/23,CUST6649,Denim,Denim,60,2,120,Winter,India,Credit Card,25,5,105,No,150
5/28/23,CUST8840,Denim,Denim,85,3,255,Fall,Canada,PayPal,38,1,137,Yes,150
7/24/24,CUST9897,T-shirt,T-shirt,55,2,110,Fall,Australia,Credit Card,33,2,93,No,350
12/29/23,CUST8159,Sweatpants,Sweatpants,60,1,60,Summer,India,Apple Pay,30,4,106,Yes,450
2/28/23,CUST2293,Footwear,Footwear,130,1,130,Fall,Japan,PayPal,31,5,95,Yes,200
10/27/24,CUST3730,Sweatpants,Sweatpants,75,3,225,Fall,Spain,Debit Card,40,4,30,Yes,450
5/10/24,CUST2229,Outerwear,Outerwear,140,3,420,Winter,China,Apple Pay,39,3,151,Yes,180
2/19/24,CUST1570,Hoodie,Hoodie,145,3,435,Fall,UK,PayPal,22,3,112,Yes,250
4/19/24,CUST8273,Denim,Denim,130,2,260,Summer,UK,PayPal,42,5,113,No,150
6/6/23,CUST9176,T-shirt,T-shirt,30,3,90,Spring,Italy,Credit Card,34,3,86,Yes,350
8/14/24,CUST3223,Denim,Denim,135,1,135,Winter,UK,Apple Pay,45,2,133,Yes,150
3/30/23,CUST9882,Sweatpants,Sweatpants,90,2,180,Winter,Australia,PayPal,27,2,112,Yes,450
10/7/24,CUST6912,Hoodie,Hoodie,85,2,170,Winter,Japan,Debit Card,35,4,161,Yes,250
8/20/23,CUST9612,Outerwear,Outerwear,210,3,630,Fall,Mexico,Apple Pay,31,5,38,No,180
9/25/24,CUST3102,Outerwear,Outerwear,205,3,615,Summer,Mexico,PayPal,44,2,130,Yes,180
9/9/24,CUST3653,Footwear,Footwear,110,2,220,Spring,India,PayPal,28,3,152,Yes,200
11/18/24,CUST5961,Denim,Denim,145,2,290,Spring,Netherlands,Credit Card,37,5,184,No,150
4/11/24,CUST1464,Denim,Denim,110,3,330,Winter,USA,Debit Card,20,2,166,No,150
2/13/23,CUST8912,Denim,Denim,145,2,290,Summer,Mexico,Apple Pay,25,3,136,No,150
9/28/23,CUST3353,Outerwear,Outerwear,170,1,170,Summer,Brazil,Debit Card,28,3,122,Yes,180
10/8/23,CUST5382,Sweatpants,Sweatpants,55,2,110,Winter,Germany,PayPal,32,1,32,Yes,450
8/14/23,CUST4110,Hoodie,Hoodie,75,2,150,Summer,Canada,Apple Pay,42,5,139,Yes,250
10/6/24,CUST4524,Outerwear,Outerwear,180,2,360,Spring,France,Credit Card,36,1,92,Yes,180
10/20/23,CUST2761,Outerwear,Outerwear,145,3,435,Winter,Canada,Debit Card,31,3,123,Yes,180
3/30/24,CUST2204,Hoodie,Hoodie,105,3,315,Summer,Netherlands,Apple Pay,30,5,91,Yes,250
1/1/24,CUST6555,Hoodie,Hoodie,65,2,130,Summer,France,PayPal,35,2,174,Yes,250
10/14/23,CUST3440,Hoodie,Hoodie,100,2,200,Fall,Netherlands,PayPal,37,3,176,Yes,250
12/16/24,CUST5911,Sweatpants,Sweatpants,85,2,170,Fall,Brazil,Credit Card,33,3,104,Yes,450
1/18/24,CUST5350,Denim,Denim,60,3,180,Fall,Mexico,PayPal,38,1,169,Yes,150
11/2/23,CUST1517,Outerwear,Outerwear,120,3,360,Spring,India,Credit Card,36,2,24,No,180
12/16/23,CUST2020,Hoodie,Hoodie,115,3,345,Fall,Canada,PayPal,40,5,103,Yes,250
6/29/23,CUST9950,Hoodie,Hoodie,120,3,360,Summer,China,Debit Card,29,5,143,Yes,250
2/23/24,CUST9011,Hoodie,Hoodie,95,2,190,Spring,Spain,Debit Card,28,5,90,Yes,250
6/29/24,CUST5758,Outerwear,Outerwear,230,2,460,Spring,Australia,Credit Card,19,3,133,No,180
1/23/24,CUST3249,Footwear,Footwear,130,3,390,Summer,Japan,PayPal,21,2,32,Yes,200
4/26/23,CUST8739,T-shirt,T-shirt,35,2,70,Summer,China,PayPal,21,1,160,Yes,350
1/26/24,CUST5706,Outerwear,Outerwear,175,3,525,Spring,Australia,Credit Card,28,1,186,Yes,180
1/7/23,CUST1595,T-shirt,T-shirt,40,2,80,Spring,Italy,Apple Pay,44,2,94,Yes,350
8/13/24,CUST9901,T-shirt,T-shirt,55,2,110,Fall,Spain,PayPal,34,5,139,Yes,350
5/22/23,CUST4050,Denim,Denim,130,3,390,Summer,India,Debit Card,18,3,165,Yes,150
11/14/24,CUST2421,Denim,Denim,120,2,240,Summer,China,Credit Card,30,2,55,No,150
6/22/23,CUST6400,Outerwear,Outerwear,135,2,270,Summer,Japan,Credit Card,27,3,187,Yes,180
8/4/23,CUST9233,Outerwear,Outerwear,145,1,145,Fall,Mexico,Debit Card,40,1,183,Yes,180
12/10/23,CUST8454,Hoodie,Hoodie,70,2,140,Spring,Japan,Debit Card,41,4,199,Yes,250
8/28/24,CUST9609,Denim,Denim,90,1,90,Winter,Netherlands,Debit Card,32,1,164,Yes,150
3/1/24,CUST3695,Hoodie,Hoodie,140,3,420,Spring,Brazil,Apple Pay,28,1,194,Yes,250
5/6/24,CUST3161,Footwear,Footwear,160,1,160,Fall,Italy,Apple Pay,34,5,34,Yes,200
1/31/24,CUST4570,T-shirt,T-shirt,60,2,120,Winter,UK,Credit Card,36,4,108,Yes,350
10/7/23,CUST7698,T-shirt,T-shirt,65,1,65,Summer,Mexico,PayPal,23,4,115,No,350
6/12/23,CUST6697,Outerwear,Outerwear,160,1,160,Spring,Canada,Apple Pay,21,5,52,No,180
7/21/23,CUST9715,T-shirt,T-shirt,50,2,100,Fall,Brazil,PayPal,30,2,137,No,350
3/12/24,CUST1256,Denim,Denim,75,1,75,Fall,Germany,Credit Card,25,1,172,Yes,150
7/31/23,CUST7590,T-shirt,T-shirt,45,3,135,Winter,Germany,PayPal,32,1,55,No,350
2/11/24,CUST4881,Denim,Denim,150,2,300,Summer,Canada,PayPal,27,4,96,Yes,150
10/26/23,CUST9120,Denim,Denim,85,3,255,Fall,France,Apple Pay,19,5,101,No,150
12/7/24,CUST4692,Hoodie,Hoodie,135,2,270,Spring,Brazil,PayPal,27,4,34,Yes,250
6/12/24,CUST4331,Hoodie,Hoodie,110,1,110,Summer,China,Credit Card,28,4,114,Yes,250
9/1/23,CUST2192,Sweatpants,Sweatpants,70,3,210,Winter,Mexico,PayPal,24,4,73,No,450
7/20/24,CUST8846,T-shirt,T-shirt,45,1,45,Winter,India,PayPal,25,4,81,Yes,350
6/11/24,CUST5285,Footwear,Footwear,190,2,380,Summer,Netherlands,Apple Pay,29,4,45,Yes,200
11/13/24,CUST7781,Sweatpants,Sweatpants,55,2,110,Summer,Japan,PayPal,19,2,24,Yes,450
5/14/24,CUST6404,Outerwear,Outerwear,145,1,145,Spring,Italy,PayPal,25,4,160,No,180
12/23/23,CUST8550,Outerwear,Outerwear,250,3,750,Fall,India,Debit Card,23,2,55,Yes,180
4/5/24,CUST2217,Footwear,Footwear,190,1,190,Winter,China,Credit Card,44,1,125,Yes,200
2/7/24,CUST7114,Hoodie,Hoodie,50,1,50,Fall,Japan,Apple Pay,19,4,24,Yes,250
1/18/24,CUST1280,Footwear,Footwear,130,3,390,Summer,Brazil,Apple Pay,34,2,47,Yes,200
6/27/23,CUST5379,Footwear,Footwear,170,2,340,Summer,Italy,Credit Card,43,3,123,Yes,200
1/7/23,CUST2531,Sweatpants,Sweatpants,90,1,90,Winter,Italy,Apple Pay,30,5,141,Yes,450
12/14/23,CUST2562,Outerwear,Outerwear,235,2,470,Summer,USA,PayPal,34,2,197,No,180
8/22/24,CUST3938,T-shirt,T-shirt,80,2,160,Winter,France,Credit Card,45,2,170,No,350
5/18/24,CUST7375,T-shirt,T-shirt,50,1,50,Spring,Netherlands,Debit Card,39,4,55,Yes,350
11/28/24,CUST8161,Denim,Denim,115,1,115,Winter,Brazil,Credit Card,25,3,174,No,150
5/11/24,CUST8381,Sweatpants,Sweatpants,40,3,120,Summer,Germany,Debit Card,33,5,116,Yes,450
10/12/23,CUST2204,T-shirt,T-shirt,75,2,150,Spring,Australia,PayPal,20,4,182,Yes,350
11/24/23,CUST6896,T-shirt,T-shirt,30,2,60,Fall,Australia,Credit Card,42,2,42,Yes,350
10/11/23,CUST6798,Outerwear,Outerwear,115,1,115,Winter,UK,Debit Card,35,4,23,No,180
2/16/23,CUST7237,Footwear,Footwear,125,3,375,Spring,Canada,Debit Card,23,3,88,Yes,200
3/20/23,CUST6916,Outerwear,Outerwear,145,2,290,Winter,Germany,Apple Pay,26,5,177,No,180
3/16/24,CUST6399,Outerwear,Outerwear,150,3,450,Fall,France,Apple Pay,32,5,54,Yes,180
7/24/23,CUST6228,Outerwear,Outerwear,150,1,150,Fall,India,Apple Pay,27,5,82,Yes,180
8/1/23,CUST9939,Sweatpants,Sweatpants,45,3,135,Spring,China,Credit Card,23,4,73,Yes,450
12/24/24,CUST5961,Outerwear,Outerwear,205,2,410,Spring,Australia,PayPal,25,4,116,No,180
3/4/23,CUST9907,Outerwear,Outerwear,185,3,555,Fall,Mexico,Debit Card,19,5,172,Yes,180
6/12/23,CUST7547,Denim,Denim,115,1,115,Winter,France,Apple Pay,42,1,22,Yes,150
9/9/23,CUST8303,Footwear,Footwear,180,3,540,Spring,Italy,Apple Pay,29,5,196,Yes,200
7/26/24,CUST2901,T-shirt,T-shirt,50,2,100,Winter,India,PayPal,44,3,99,Yes,350
9/8/23,CUST8412,Sweatpants,Sweatpants,75,1,75,Fall,UK,Debit Card,28,1,49,Yes,450
4/4/24,CUST3623,Hoodie,Hoodie,85,3,255,Spring,Netherlands,Apple Pay,28,4,79,Yes,250
5/31/23,CUST4232,Denim,Denim,125,2,250,Winter,Japan,Apple Pay,32,4,21,Yes,150
12/24/23,CUST6993,T-shirt,T-shirt,75,1,75,Spring,Germany,Apple Pay,28,1,87,No,350
5/30/24,CUST2871,Sweatpants,Sweatpants,85,2,170,Fall,France,Apple Pay,29,5,64,Yes,450
4/14/23,CUST6131,Footwear,Footwear,180,1,180,Spring,Germany,Debit Card,21,1,66,Yes,200
4/13/23,CUST7931,Footwear,Footwear,110,3,330,Fall,Spain,PayPal,23,5,62,Yes,200
12/28/23,CUST1157,Outerwear,Outerwear,195,1,195,Summer,Canada,PayPal,33,4,163,Yes,180
6/14/23,CUST3740,Outerwear,Outerwear,210,2,420,Fall,Japan,Credit Card,20,2,94,No,180
9/25/23,CUST9369,Outerwear,Outerwear,190,3,570,Fall,Japan,Credit Card,21,3,159,Yes,180
9/12/23,CUST7965,T-shirt,T-shirt,65,3,195,Spring,India,PayPal,21,3,28,No,350
3/25/24,CUST4438,Outerwear,Outerwear,235,1,235,Spring,India,Debit Card,43,5,181,Yes,180
2/23/24,CUST9720,Hoodie,Hoodie,55,3,165,Summer,Japan,PayPal,26,3,200,No,250
8/24/23,CUST7743,Footwear,Footwear,195,1,195,Spring,Australia,PayPal,19,2,83,Yes,200
10/4/24,CUST5402,Denim,Denim,120,2,240,Spring,Italy,Apple Pay,38,4,39,No,150
5/24/24,CUST8449,Footwear,Footwear,130,3,390,Summer,France,Credit Card,33,1,137,No,200
4/6/23,CUST4470,Footwear,Footwear,150,1,150,Fall,Australia,Debit Card,33,3,106,No,200
4/26/23,CUST2631,Sweatpants,Sweatpants,90,1,90,Winter,Mexico,Apple Pay,38,1,51,Yes,450
3/2/23,CUST5945,Outerwear,Outerwear,130,3,390,Spring,Brazil,Debit Card,23,1,187,Yes,180
3/11/23,CUST6005,Denim,Denim,85,1,85,Fall,India,PayPal,41,4,187,No,150
3/30/23,CUST9510,T-shirt,T-shirt,40,3,120,Spring,Spain,Credit Card,39,1,198,No,350
8/7/23,CUST4751,Denim,Denim,80,2,160,Winter,UK,Credit Card,30,1,100,No,150
9/14/23,CUST2120,Hoodie,Hoodie,150,3,450,Spring,Japan,Credit Card,34,5,186,Yes,250
9/14/23,CUST4559,Denim,Denim,80,2,160,Fall,UK,PayPal,20,1,170,No,150
5/30/23,CUST5065,Hoodie,Hoodie,85,2,170,Winter,Japan,Debit Card,35,1,188,Yes,250
2/21/23,CUST4921,Hoodie,Hoodie,110,2,220,Winter,Italy,Credit Card,33,2,147,No,250
7/10/24,CUST7337,T-shirt,T-shirt,55,2,110,Spring,Brazil,Apple Pay,45,3,159,No,350
4/3/24,CUST1225,T-shirt,T-shirt,30,3,90,Winter,Germany,Credit Card,26,1,121,Yes,350
1/9/24,CUST2350,Outerwear,Outerwear,165,3,495,Fall,Netherlands,PayPal,38,3,41,No,180
11/5/24,CUST2083,Hoodie,Hoodie,135,2,270,Fall,India,Apple Pay,27,2,34,Yes,250
9/11/23,CUST3877,Footwear,Footwear,185,1,185,Summer,USA,PayPal,21,1,61,Yes,200
11/10/23,CUST3079,Denim,Denim,100,1,100,Summer,Mexico,Debit Card,41,1,27,Yes,150
5/2/23,CUST9128,Sweatpants,Sweatpants,95,3,285,Winter,Netherlands,Debit Card,32,1,147,Yes,450
